event_id,symbol,price,volume,currency,market,timestamp,source
EVT-2025-001,AAPL,185.50,1250000,USD,NASDAQ,2025-06-01T09:30:00Z,reuters
EVT-2025-002,AAPL,186.20,980000,USD,NASDAQ,2025-06-01T10:00:00Z,reuters
EVT-2025-003,AAPL,185.80,1100000,USD,NASDAQ,2025-06-01T10:30:00Z,reuters
EVT-2025-004,GOOG,175.30,500000,USD,NASDAQ,2025-06-01T09:30:00Z,reuters
EVT-2025-005,GOOG,176.10,420000,USD,NASDAQ,2025-06-01T10:00:00Z,reuters
EVT-2025-006,MSFT,420.50,800000,USD,NASDAQ,2025-06-01T09:30:00Z,bloomberg
EVT-2025-007,MSFT,422.00,750000,USD,NASDAQ,2025-06-01T10:00:00Z,bloomberg
EVT-2025-008,LLOY.L,0.5230,5000000,GBP,LSE,2025-06-01T09:00:00Z,reuters
EVT-2025-009,LLOY.L,0.5215,4800000,GBP,LSE,2025-06-01T09:30:00Z,reuters
EVT-2025-010,BNP.PA,62.50,350000,EUR,EURONEXT,2025-06-01T09:05:00Z,euronext
EVT-2025-011,BNP.PA,63.10,280000,EUR,EURONEXT,2025-06-01T09:35:00Z,euronext
EVT-2025-012,NESN.SW,104.20,120000,CHF,XETRA,2025-06-01T09:00:00Z,bloomberg
EVT-2025-013,7203.T,2850.00,2000000,JPY,TSX,2025-06-01T00:30:00Z,reuters
EVT-2025-014,AAPL,184.90,990000,USD,NASDAQ,2025-06-01T11:00:00Z,reuters
EVT-2025-015,GOOG,175.90,380000,USD,NASDAQ,2025-06-01T10:30:00Z,reuters
EVT-2025-016,,150.00,100000,EUR,EURONEXT,2025-06-01T09:00:00Z,test
EVT-2025-017,INVALID,-50.00,100000,EUR,EURONEXT,2025-06-01T09:00:00Z,test
EVT-2025-018,TEST,100.00,100000,BITCOIN,EURONEXT,2025-06-01T09:00:00Z,test
